#StationName;Latitude;Longitude;Height;
ABMF00GLP;16.262;-61.528;-25.268;
ABPO00MDG;-19.018;47.229;1553.398;
AC2300USA;60.475;-150.878;80.744;
AC2400USA;58.682;-156.653;36.841;
ACRG00GHA;5.641;-0.207;83.792;
ACSO00USA;40.232;-82.982;249.81;
ADIS00ETH;9.035;38.766;2439.556;
AGGO00ARG;-34.874;-58.14;42.744;
AIRA00JPN;31.824;130.6;315.056;
AJAC00FRA;41.927;8.763;99.2;
ALBH00CAN;48.39;-123.487;32.176;
ALGO00CAN;45.956;-78.071;201.258;
ALIC00AUS;-23.67;133.886;603.645;
ALRT00CAN;82.494;-62.34;78.562;
AMC400USA;38.803;-104.525;1911.816;
ANKR00TUR;39.888;32.759;975.191;
ANMG00MYS;2.785;101.507;15.402;
ANTC00CHL;-37.339;-71.532;746.168;
AREG00PER;-16.465;-71.493;2489.742;
AREQ00PER;-16.466;-71.493;2489.327;
ARHT00ATA;-77.829;166.664;135.782;
ARTU00RUS;56.43;58.56;247.95;
ARUC00ARM;40.286;44.086;1222.58;
ASCG00SHN;-7.916;-14.333;38.354;
ASPA00USA;-14.326;-170.722;54.07;
ATRU00KAZ;47.131;51.954;-31.622;
AUCK00NZL;-36.603;174.834;133.092;
BADG00RUS;51.77;102.235;811.838;
BAIE00CAN;49.187;-68.263;27.911;
BAKE00CAN;64.318;-96.002;4.854;
BAKO00IDN;-6.491;106.849;158.562;
BAMF00CAN;48.835;-125.135;11.071;
BARH00USA;44.395;-68.222;7.178;
BAUT00DEU;51.192;14.522;212.211;
BELE00BRA;-1.409;-48.463;9.476;
BHR300BHR;26.209;50.608;-13.446;
BHR400BHR;26.209;50.608;-13.446;
BIK000KGZ;42.854;74.533;745.287;
BILL00USA;33.578;-117.065;470.478;
BJCO00BEN;6.385;2.45;31.127;
BJFS00CHN;39.609;115.892;87.833;
BJNM00CHN;40.245;116.224;109.492;
BLYT00USA;33.61;-114.715;86.324;
BNOA00IDN;-8.746;115.21;39.458;
BOAV00BRA;2.845;-60.701;69.876;
BOGI00POL;52.475;21.035;140.355;
BOGT00COL;4.64;-74.081;2577.179;
BOR100POL;52.277;17.073;125.335;
BRAZ00BRA;-15.947;-47.878;1106.445;
BREW00USA;48.132;-119.683;239.058;
BRFT00BRA;-3.877;-38.426;22.074;
BRMG00DEU;47.908;7.633;262.027;
BRMU00GBR;32.37;-64.696;-11.205;
BRST00FRA;48.38;-4.497;65.952;
BRUN00BRN;4.971;114.952;91.069;
BRUX00BEL;50.798;4.359;158.694;
BSHM00ISR;32.779;35.02;225.516;
BTNG00IDN;1.439;125.19;75.393;
BUCU00ROU;44.464;26.126;143.595;
BZR200ITA;46.496;11.338;331.633;
CAGS00CAN;45.585;-75.807;235.442;
CAS100ATA;-66.283;110.52;22.999;
CCJ200JPN;27.068;142.195;104.626;
CEBR00ESP;40.453;-4.368;776.225;
CEDU00AUS;-31.867;133.81;145.13;
CGGN00NGA;10.123;9.118;917.097;
CHAN00CHN;43.79;125.443;271.958;
CHIL00USA;34.333;-118.026;1567.929;
CHOF00JPN;35.675;139.531;94.315;
CHPG00BRA;-22.682;-45.002;566.658;
CHPI00BRA;-22.687;-44.985;617.826;
